stop_id,stop_name,stop_lat,stop_lon
11632,Messines Road (near 22),-41.285470,174.748968
11633,Messines Road at Braithwaite Street (near 2),-41.284495,174.748548
11640,Gipps Street at Shirley Street (near 3),-41.287597,174.746493
11641,Gipps Street at Donald Street (near 25),-41.288177,174.744431
11642,Donald Street at Firth Terrace (near 56),-41.287093,174.743459
11643,Victoria University - Karori Campus,-41.285100,174.742475
11644,Marsden Village - Karori Road (near 146),-41.282283,174.745922
11645,Karori Road at Standen Street (near 90),-41.281308,174.750254
22206,Northland Road at Seaview Terrace (near 138),-41.279535,174.761394
22207,Northland Road at Military Road,-41.279528,174.760105
22210,Northland Road (near 88),-41.281651,174.759087
22211,Northland Village - Northland Road,-41.283404,174.757558
22212,Northland Tunnel (near Putnam St),-41.284880,174.755197
10352,"Lambton Quay - North End, Stop H",-41.279858,174.776243
10356,"Molesworth Street - Parliament, Stop E",-41.278658,174.778145
10379,Molesworth Street - Cathedral,-41.275801,174.777710
10381,Molesworth Street - New World,-41.273962,174.777768
10380,Molesworth Street - Motorway,-41.272817,174.777833
22121,Park Street at Tinakori Road (near 7),-41.271530,174.777189
22122,Grant Road at Newman Terrace (near 32),-41.269163,174.778271
22124,Grosvenor Terrace at Orchard Street,-41.267143,174.779613
22125,Grosvenor Terrace at Lower Watt St,-41.266014,174.779846
22126,Lennel Road at Lower Watt Street,-41.264488,174.780079
22129,Lennel Road at Sefton Street (near 20),-41.263952,174.778000
22130,Wadestown Library - Wadestown Road,-41.262533,174.776612
22131,Wadestown Road at Pitt Street (near 95),-41.261789,174.775148
22132,Wadestown Shops (near 109),-41.261996,174.773996
22133,Wadestown Road at Lytton Street (near 163),-41.261679,174.769404
22134,Wadestown School - Wilton Road (near 177),-41.261658,174.767864
22135,Wilton Road at Purakau Avenue (near 11),-41.262522,174.765559
22136,Izard Park - Wilton Road (near 41),-41.264287,174.764341
22137,Wilton Road (near 79),-41.266207,174.763068
22480,Churchill Drive at Wilton Bush Road,-41.263458,174.763233
22264,Ngaio Town Hall - Ottawa Road,-41.249944,174.773517
22265,Ottawa Road at Awarua Street,-41.247848,174.774511
22316,Simla Crescent Station (bus stop),-41.246951,174.784212
22244,Burma Road at John Sims Drive,-41.236389,174.798018
22245,Broadmeadows - Rajkot Terrace,-41.236831,174.797409
22246,Rajkot Terrace at Orissa Crescent,-41.237180,174.796369
22247,Kanpur Road at Sita Way (near 5),-41.236768,174.795618
22248,Kanpur Road (near 45),-41.237674,174.794139
22249,Kanpur Road (near 59),-41.237593,174.791834
22250,Kanpur Road at Juanpur Crescent (near 91),-41.235495,174.792934
22251,Kanpur Road at Nalanda Crescent (near 111),-41.233932,174.792677
22252,Nalanda Crescent at Rajkot Terrace (near 59),-41.234107,174.794746
22254,Rajkot Terrace at John Sims Drive,-41.233256,174.795045
22253,John Sims Drive (near 40),-41.233594,174.796426
22255,Broadmeadows - John Sims Drive,-41.234876,174.797428
22241,Burma Road at Fraser Avenue,-41.235936,174.798208
22242,Station Road (near 7),-41.242105,174.792983
22317,Cashmere Avenue (near 57),-41.245186,174.795250
22293,Ranui Crescent at Cashmere Avenue (near 73),-41.247137,174.796652
22295,Everest Street at Ganges Road (near 29),-41.248513,174.793300
22296,Khandallah Village (New World),-41.247322,174.791120
22297,Clutha Avenue at Nicholson Road (near 3),-41.248077,174.789469
