stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_short_name
102499,eastbound Blackcomb FS Painted Cliff at Upper Village (Stop ID: 102499),50.12056,-122.938175,0,,Blackcomb at Painted Cliff
102500,southbound Blackcomb FS Nancy Greene (Stop ID: 102500),50.125623,-122.954584,0,,Blackcomb at Nancy Greene
102501,northbound Blackcomb NS Nancy Greene (Stop ID: 102501),50.126164,-122.954172,0,,Blackcomb at Nancy Greene
102502,southbound Blueberry NS Valley Trail (Stop ID: 102502),50.11062,-122.971231,0,,Blueberry at Valley Trail
102503,northbound 7080 block Nesters (Stop ID: 102503),50.125755,-122.957373,0,,7080 Nesters
102504,southbound 7080 block Nesters (Stop ID: 102504),50.125826,-122.957533,0,,7080 Nesters
102505,westbound Blackcomb FS Lost Lake at Upper Village (Stop ID: 102505),50.121753,-122.936353,0,,Blackcomb at Lost Lake
102506,southbound Fitzsimmons Rd N NS Nancy Greene (Stop ID: 102506),50.126649,-122.951723,0,,Fitzsimmons at Nancy Greene
102507,northbound Fitzsimmons Rd N FS Nancy Greene (Stop ID: 102507),50.126733,-122.951586,0,,Fitzsimmons at Nancy Greene
102508,eastbound Blackcomb NS Lost Lake at Upper Village (Stop ID: 102508),50.121621,-122.936293,0,,Blackcomb at Lost Lake
102509,westbound Hwy 99 FS Blueberry (Stop ID: 102509),50.109838,-122.971861,0,,Hwy 99 at Blueberry
102511,eastbound St Anton FS Tyrol (Stop ID: 102511),50.110735,-122.973232,0,,St Anton at Tyrol
102514,southbound 7000 block Nesters (Stop ID: 102514),50.128314,-122.954844,0,,7000 Nesters
102515,westbound 4660 block Blackcomb at Upper Village (Stop ID: 102515),50.122202,-122.934424,0,,4660 Blackcomb
102516,eastbound 4660 block Blackcomb at Upper Village (Stop ID: 102516),50.122169,-122.934126,0,,4660 Blackcomb
102517,northbound 6990 block Nesters (Stop ID: 102517),50.128354,-122.954609,0,,6990 Nesters
102518,southbound Fitzsimmons Rd N FS Spruce Grove (Stop ID: 102518),50.128342,-122.952029,0,,Fitzsimmons at Spruce Grove
102519,northbound Fitzsimmons Rd N NS Spruce Grove (Stop ID: 102519),50.128407,-122.951844,0,,Fitzsimmons at Spruce Grove
102520,westbound 6240 block Lorimer (Stop ID: 102520),50.127368,-122.964565,0,,6240 Lorimer
102521,southbound Beaver FS Crabapple (Stop ID: 102521),50.123249,-122.9713,0,,Beaver at Crabapple
102522,westbound 4690 block Blackcomb at Upper Village (Stop ID: 102522),50.122843,-122.932719,0,,4690 Blackcomb
102523,eastbound 3040 block Hwy 99 (Stop ID: 102523),50.107325,-122.97524,0,,3040 Hwy 99
102524,northbound Archibald FS Carleton (Stop ID: 102524),50.109947,-122.97666,0,,Archibald at Carleton
102525,southbound Crabapple NS Tapley (Stop ID: 102525),50.124847,-122.970022,0,,Crabapple at Tapley
102526,westbound Lorimer FS Balsam (Stop ID: 102526),50.126386,-122.967586,0,,Lorimer at Balsam
102528,southbound Crabapple FS Cedar Grove (Stop ID: 102528),50.125829,-122.968967,0,,Crabapple at Cedar Grove
102529,southbound Crabapple FS Barnfield (Stop ID: 102529),50.123132,-122.973081,0,,Crabapple at Barnfield
102531,eastbound Alpine NS Alta Vista (Stop ID: 102531),50.107281,-122.976553,0,,Alpine at Alta Vista
102533,westbound Hwy 99 NS Hillcrest (Stop ID: 102533),50.107063,-122.976082,0,,Hwy 99 at Hillcrest
102534,southbound Spruce Grove FS Kirkpatrick (Stop ID: 102534),50.131016,-122.950109,0,,Spruce Grove at Kirkpatrick
102535,northbound 6920 block Nesters (Stop ID: 102535),50.131171,-122.953928,0,,6920 Nesters
102536,southbound 6920 block Nesters (Stop ID: 102536),50.131098,-122.954082,0,,6920 Nesters
102539,northbound Spruce Grove NS Kirkpatrick (Stop ID: 102539),50.131465,-122.949952,0,,Spruce Grove at Kirkpatrick
102540,eastbound Blackcomb FS Mons (Stop ID: 102540),50.132014,-122.952425,0,,Blackcomb at Mons
102541,westbound Blackcomb NS Mons (Stop ID: 102541),50.132141,-122.952487,0,,Blackcomb at Mons
102542,northbound Hwy 99 FS Blackcomb (Stop ID: 102542),50.132619,-122.953348,0,,Hwy 99 at Blackcomb
102543,eastbound Hwy 99 FS Nordic (Stop ID: 102543),50.103399,-122.980929,0,,Hwy 99 at Nordic
102545,northbound Nordic NS Hwy 99 (Stop ID: 102545),50.102815,-122.98172,0,,Nordic at Hwy 99
102547,southbound Nordic FS Hwy 99 (Stop ID: 102547),50.102998,-122.981909,0,,Nordic at Hwy 99
102548,eastbound Cloudburst NS Mount Fee (Stop ID: 102548),50.07717,-123.039286,0,,Cloudburst at Mount Fee
102550,eastbound 1340 block Cloudburst (Stop ID: 102550),50.077104,-123.042734,0,,1340 Cloudburst
102553,northbound Legacy NS Madeley (Stop ID: 102553),50.0806,-123.040249,0,,Legacy at Madeley
102554,westbound Garibaldi FS Nordic (Stop ID: 102554),50.103203,-122.983978,0,,Garibaldi at Nordic
102555,eastbound Garibaldi NS Nordic (Stop ID: 102555),50.103038,-122.983867,0,,Garibaldi at Nordic
102567,northbound Eva Lake FS Aspen (Stop ID: 102567),50.100209,-122.98656,0,,Eva Lake at Aspen
102569,southbound Eva Lake NS Aspen (Stop ID: 102569),50.100368,-122.98662,0,,Eva Lake at Aspen
102576,eastbound Whistler NS Aspen (Stop ID: 102576),50.09906,-122.989047,0,,Whistler at Aspen
102578,westbound 2140 block Whistler (Stop ID: 102578),50.099189,-122.989415,0,,2140 Whistler
102589,southbound Hwy 99 NS Nicklaus North (Stop ID: 102589),50.143112,-122.957612,0,,Hwy 99 at Nicklaus North
102591,northbound London FS Rob Boyd (Stop ID: 102591),50.09597,-122.989316,0,,London at Rob Boyd
102592,southbound London NS Rob Boyd (Stop ID: 102592),50.096022,-122.989589,0,,London at Rob Boyd
102594,northbound Hwy 99 NS Alta Creek Bridge (Stop ID: 102594),50.143378,-122.957554,0,,Hwy 99 at Alta Creek Bridge
102596,southbound London NS Gondola (Stop ID: 102596),50.094479,-122.99022,0,,London at Gondola
102599,northbound London FS Gondola (Stop ID: 102599),50.094397,-122.990065,0,,London at Gondola
102600,Meadow Park Sports Center (Stop ID: 102600),50.144352,-122.960171,0,,Meadow Park Sports Center
102603,westbound Lake Placid NS Sarajevo (Stop ID: 102603),50.09425,-122.991885,0,,Lake Placid at Sarajevo
102604,southbound Matterhorn NS Drifter (Stop ID: 102604),50.143997,-122.967635,0,,Matterhorn at Drifter
102605,eastbound Lake Placid NS Sarajevo (Stop ID: 102605),50.094267,-122.992253,0,,Lake Placid at Sarajevo
102607,northbound Drifter NS Alpine (Stop ID: 102607),50.144571,-122.969684,0,,Drifter at Alpine
102610,southbound Rainbow NS Matterhorn (Stop ID: 102610),50.145846,-122.965394,0,,Rainbow at Matterhorn
102619,southbound Hwy 99 FS Alpine (Stop ID: 102619),50.148137,-122.961345,0,,Hwy 99 at Alpine
102620,northbound 8690 block Hwy 99 (Stop ID: 102620),50.147941,-122.960906,0,,8690 Hwy 99
102621,northbound Drifter NS Wedgeview (Stop ID: 102621),50.14647,-122.970593,0,,Drifter at Wedgeview
102622,westbound Alpine NS Rainbow (Stop ID: 102622),50.148163,-122.963308,0,,Alpine at Rainbow
102627,eastbound Drifter NS Driftwood (Stop ID: 102627),50.148793,-122.9684,0,,Drifter at Driftwood
102628,southbound Hwy 99 NS Bayshore (Stop ID: 102628),50.090484,-122.997889,0,,Hwy 99 at Bayshore
102629,Green Lake Lookout Hwy 99 (Stop ID: 102629),50.151518,-122.943657,0,,Green Lake Lookout Hwy 99
102631,eastbound Mountain View FS Valley (Stop ID: 102631),50.151333,-122.966202,0,,Mountain View at Valley
102632,eastbound Hwy 99 NS Bayshore (Stop ID: 102632),50.089848,-122.999942,0,,Hwy 99 at Bayshore
102634,southbound Parkwood NS Meadow (Stop ID: 102634),50.152167,-122.962835,0,,Parkwood at Meadow
102636,eastbound Mountain View NS Parkwood (Stop ID: 102636),50.153326,-122.96377,0,,Mountain View at Parkwood
102639,eastbound Hwy 99 FS Alta Lake (Stop ID: 102639),50.090511,-123.005455,0,,Hwy 99 at Alta Lake
102640,westbound Alta Lake FS Hwy 99 (Stop ID: 102640),50.090993,-123.006635,0,,Alta Lake at Hwy 99
102642,eastbound Alta Lake NS Hwy 99 (Stop ID: 102642),50.090902,-123.006613,0,,Alta Lake at Hwy 99
102645,westbound Hwy 99 FS Alta Lake (Stop ID: 102645),50.090443,-123.007801,0,,Hwy 99 at Alta Lake
102647,eastbound 1340 block Alta Lake (Stop ID: 102647),50.091677,-123.008672,0,,1340 Alta Lake
102648,northbound 1500 block Alta Lake (Stop ID: 102648),50.094073,-123.012863,0,,1500 Alta Lake
102651,westbound 1410 block Alta Lake (Stop ID: 102651),50.091553,-123.010824,0,,1410 Alta Lake
102653,westbound Emerald NS Autumn (Stop ID: 102653),50.156104,-122.931267,0,,Emerald at Autumn
102656,westbound 9140 block Emerald (Stop ID: 102656),50.157494,-122.929795,0,,9140 Emerald
102659,northbound Hwy 99 NS Emerald (Stop ID: 102659),50.158712,-122.926811,0,,Hwy 99 at Emerald
102660,southbound Emerald NS Pinetree (Stop ID: 102660),50.159068,-122.928138,0,,Emerald at Pinetree
102661,eastbound Spring Creek FS Khyber (Stop ID: 102661),50.086738,-123.014243,0,,Spring Creek at Khyber
102662,westbound Spring Creek NS Khyber (Stop ID: 102662),50.086846,-123.014417,0,,Spring Creek at Khyber
102664,eastbound Spring Creek FS Tynebridge (Stop ID: 102664),50.086355,-123.018814,0,,Spring Creek at Tynebridge
102665,westbound Spring Creek NS Tynebridge (Stop ID: 102665),50.086484,-123.019421,0,,Spring Creek at Tynebridge
102667,eastbound Spring Creek NS Cedar Glen (Stop ID: 102667),50.085689,-123.020735,0,,Spring Creek at Cedar Glen
102668,westbound Spring Creek FS Cedar Glen (Stop ID: 102668),50.085696,-123.021058,0,,Spring Creek at Cedar Glen
102671,northbound 1500 block Spring Creek (Stop ID: 102671),50.086535,-123.02388,0,,1500 Spring Creek
102672,southbound 1500 block Spring Creek (Stop ID: 102672),50.08624,-123.023751,0,,1500 Spring Creek
102673,eastbound Hwy 99 FS Spring Creek (Stop ID: 102673),50.08726,-123.025105,0,,Hwy 99 at Spring Creek
102676,westbound 1380 block Alpha Lake at Function Junction (Stop ID: 102676),50.09026,-123.031001,0,,1380 Alpha Lake
102677,northbound 1320 block Alpha Lake at Function Junction (Stop ID: 102677),50.089537,-123.033194,0,,1320 Alpha Lake
102678,southbound 1320 block Alpha Lake at Function Junction (Stop ID: 102678),50.089562,-123.033402,0,,1320 Alpha Lake
102679,westbound 1220 block Alpha Lake at Function Junction (Stop ID: 102679),50.089263,-123.036753,0,,1220 Alpha Lake
102680,eastbound 1230 block Alpha Lake at Function Junction (Stop ID: 102680),50.089123,-123.036663,0,,1230 Alpha Lake
102681,northbound Alpha Lake NS Millar Creek at Function Junction (Stop ID: 102681),50.088047,-123.038583,0,,Alpha Lake at Millar Creek
102682,southbound Alpha Lake NS Millar Creek at Function Junction (Stop ID: 102682),50.088341,-123.038958,0,,Alpha Lake at Millar Creek
102683,southbound 1120 block Cheakamus Lake (Stop ID: 102683),50.085661,-123.036992,0,,1120 Cheakamus Lake
102685,northbound Mount Fee FS Whitewater (Stop ID: 102685),50.079141,-123.039183,0,,Mount Fee at Whitewater
102686,westbound Legacy FS Mount Fee (Stop ID: 102686),50.079826,-123.041417,0,,Legacy at Mount Fee
102690,westbound Legacy NS Cloudburst (Stop ID: 102690),50.0787,-123.043699,0,,Legacy at Cloudburst
102691,northbound 1100 block Cheakamus Lake (Stop ID: 102691),50.086185,-123.036643,0,,1100 Cheakamus Lake
102703,westbound 8350 block Bear Paw (Stop ID: 102703),50.156689,-122.955881,0,,8350 Bear Paw
102704,eastbound 3050 block University (Stop ID: 102704),49.73692,-123.098861,0,,3050 University
102705,southbound Clarke FS Behrner (Stop ID: 102705),49.696633,-123.14338,0,,Clarke at Behrner
102706,northbound Clarke NS Behrner (Stop ID: 102706),49.69658,-123.143281,0,,Clarke at Behrner
102707,eastbound Fitzpatrick NS Findlay (Stop ID: 102707),49.907217,-119.398416,0,,Fitzpatrick at Findlay
102708,northbound University NS The Crescent (Stop ID: 102708),49.738797,-123.102686,0,,University at The Crescent
