service_id,date,exception_type
71,20160515,2
71,20160516,2
71,20160517,2
71,20160518,2
71,20160519,2
71,20160520,1
71,20160521,2
71,20160522,2
71,20160523,2
71,20160524,2
71,20160525,2
71,20160526,2
71,20160527,1
71,20160528,2
71,20160529,2
71,20160530,2
71,20160531,2
71,20160601,2
71,20160602,2
71,20160603,1
71,20160604,2
71,20160605,2
71,20160606,2
71,20160607,2
71,20160608,2
71,20160609,2
71,20160610,1
71,20160611,2
71,20160612,2
71,20160613,2
71,20160614,2
71,20160615,2
71,20160616,2
71,20160617,1
71,20160618,2
71,20160619,2
71,20160620,2
71,20160621,2
71,20160622,2
71,20160623,2
71,20160624,1
72,20160329,2
72,20160330,2
72,20160331,2
72,20160401,2
72,20160402,2
72,20160403,2
72,20160404,2
72,20160405,2
72,20160406,2
72,20160407,2
72,20160408,2
72,20160409,2
72,20160410,2
72,20160411,2
72,20160412,2
72,20160413,2
72,20160414,2
72,20160415,2
72,20160416,2
72,20160417,2
72,20160418,2
72,20160419,2
72,20160420,2
72,20160421,2
72,20160422,2
72,20160423,2
72,20160424,2
72,20160425,2
72,20160426,2
72,20160427,2
72,20160428,2
72,20160429,2
72,20160430,2
72,20160501,2
72,20160502,2
72,20160503,2
72,20160504,2
72,20160505,2
72,20160506,2
72,20160507,2
72,20160508,2
72,20160509,2
72,20160510,2
72,20160511,2
72,20160512,2
72,20160513,2
72,20160514,1
72,20160515,2
72,20160516,2
72,20160517,2
72,20160518,2
72,20160519,2
72,20160520,2
72,20160521,2
72,20160522,2
72,20160523,2
72,20160524,2
72,20160525,2
72,20160526,2
72,20160527,2
72,20160528,2
72,20160529,2
72,20160530,2
72,20160531,2
72,20160601,2
72,20160602,2
72,20160603,2
72,20160604,2
72,20160605,2
72,20160606,2
72,20160607,2
72,20160608,2
72,20160609,2
72,20160610,2
72,20160611,2
72,20160612,2
72,20160613,2
72,20160614,2
72,20160615,2
72,20160616,2
72,20160617,2
72,20160618,2
72,20160619,2
72,20160620,2
72,20160621,2
72,20160622,2
72,20160623,2
72,20160624,2
73,20160329,1
73,20160330,1
73,20160331,1
73,20160401,1
73,20160402,2
73,20160403,2
73,20160404,1
73,20160405,1
73,20160406,1
73,20160407,1
73,20160408,1
73,20160409,2
73,20160410,2
73,20160411,1
73,20160412,1
73,20160413,1
73,20160414,1
73,20160415,1
73,20160416,2
73,20160417,2
73,20160418,1
73,20160419,1
73,20160420,1
73,20160421,1
73,20160422,1
73,20160423,2
73,20160424,2
73,20160425,1
73,20160426,1
73,20160427,1
73,20160428,1
73,20160429,1
