stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
F01323,"Puskás Ferenc Stadion M",47.5009,19.108125,,
F01324,"Puskás Ferenc Stadion",47.500206,19.105344,0,008618
F01325,"Puskás Ferenc Stadion",47.500277,19.106857,0,008618
F01326,"Hős utca",47.496857,19.109229,,
F01327,"Hős utca",47.496813,19.108764,,
F01328,"Hős utca",47.496276,19.109142,,
F01329,"Hős utca",47.495787,19.109055,,
F01330,"Teleki László tér",47.493616,19.081879,,
F01331,"Teleki László tér",47.493543,19.082834,,
F01332,"Diószeghy Sámuel utca",47.48726,19.088968,,
F01333,"Kőris utca",47.487155,19.089505,,
F01334,"Orczy út",47.488908,19.091298,,
F01335,"Keleti pályaudvar",47.499819,19.081465,0,008619
F01336,"Keleti pályaudvar",47.499702,19.082792,0,008619
F01337,"Czuczor utca",47.485,19.062401,,
F01339,"Ráday utca",47.485551,19.06595,,
F01340,"Közraktár utca",47.483905,19.06246,,
F01341,"Koppány utca",47.466196,19.081205,,
F01342,"Koppány utca",47.465966,19.081503,,
F01343,"Zsil utca",47.482925,19.062725,,
F01344,"Bakáts tér",47.483479,19.065864,,
F01345,"Lónyay utca",47.482436,19.064762,,
F01346,"Zsil utca",47.482979,19.062526,,
F01347,"Timót utca",47.447304,19.090754,0,008275
F01348,"Timót utca",47.448573,19.090145,0,008275
F01349,"Kén utca",47.457049,19.089137,,
F01350,"Kén utca",47.457301,19.089111,,
F01351,"Beöthy utca H",47.46043,19.082342,,
F01352,"Beöthy utca H",47.460421,19.082196,,
F01353,"Beöthy utca",47.46079,19.081679,0,008273
F01354,"Beöthy utca",47.460556,19.081958,0,008273
F01355,"Földváry utca",47.462833,19.080169,,
F01356,"Koppány utca",47.465343,19.078273,,
F01357,"FÉG",47.44903,19.093659,,
F01358,"FÉG",47.448337,19.094242,,
F01359,"Timót utca H",47.448608,19.090331,,
F01360,"Timót utca H",47.447394,19.09086,,
F01363,"Börzsöny utca",47.466966,19.112033,,
F01364,"Börzsöny utca",47.466777,19.112033,,
F01365,"Merényi Gusztáv Kórház",47.467925,19.101131,,
F01366,"Epreserdő utca",47.459701,19.111713,,
F01367,"Epreserdő utca",47.459737,19.111607,,
F01368,"Aranyvirág sétány",47.467714,19.109845,,
F01369,"Aranyvirág sétány",47.467579,19.109195,,
F01370,"Nagykőrösi út (Határ út)",47.454589,19.113079,,
F01371,"Nagykőrösi út (Határ út)",47.454372,19.114206,,
F01373,"Boráros tér H",47.480118,19.066108,,
F01374,"Boráros tér H",47.480361,19.066665,,
F01375,"Boráros tér H",47.480295,19.066062,,
F01376,"Boráros tér H",47.479611,19.067256,,
F01377,"Boráros tér",47.481464,19.06711,,
F01378,"Mester utca",47.482186,19.06851,,
F01379,"Mester utca (Ferenc körút)",47.481643,19.06865,,
F01380,"Mester utca",47.482753,19.068816,,
F01381,"Bokréta utca",47.479478,19.072198,,
F01382,"Bokréta utca",47.479109,19.072622,,
F01384,"Haller utca",47.474756,19.070033,,
F01386,"Haller utca",47.475608,19.069669,,
F01387,"Haller utca (Soroksári út)",47.474927,19.070391,,
F01388,"Haller utca (Soroksári út)",47.475098,19.07075,,
F01390,"Mester utca",47.476014,19.076349,,
F01391,"Mester utca",47.476059,19.0768,,
F01393,"Haller utca",47.475636,19.077781,,
F01394,"Haller utca",47.475906,19.077636,,
F01395,"Mester utca",47.476211,19.078538,,
F01396,"Millenniumi Kulturális Központ",47.470969,19.073242,,
F01397,"Millenniumi Kulturális Központ",47.471248,19.073043,,
F01398,"Vágóhíd utca",47.473414,19.079929,,
