route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
115,EMT,115,Avenida de America - Barajas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=115,0178BC,FFFFFF
116,EMT,116,Glorieta de Embajadores - Villaverde Cruce,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=116,0178BC,FFFFFF
117,EMT,117,Aluche - Colonia San Ignacio de Loyola,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=117,0178BC,FFFFFF
118,EMT,118,Glorieta de Embajadores - Avenida de la Peseta,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=118,0178BC,FFFFFF
119,EMT,119,Atocha - Barrio de Goya,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=119,0178BC,FFFFFF
120,EMT,120,Plaza de Lima - Hortaleza,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=120,0178BC,FFFFFF
121,EMT,121,Campamento - Hospital 12 de Octubre,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=121,0178BC,FFFFFF
122,EMT,122,Avenida de America - Campo de las Naciones,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=122,0178BC,FFFFFF
123,EMT,123,Plaza de Legazpi - Villaverde Bajo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=123,0178BC,FFFFFF
124,EMT,124,Glorieta de Cuatro Caminos - Lacoma,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=124,0178BC,FFFFFF
125,EMT,125,Mar de Cristal - Hospital Ramon y Cajal,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=125,0178BC,FFFFFF
126,EMT,126,Nuevos Ministerios - Barrio del Pilar,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=126,0178BC,FFFFFF
127,EMT,127,Glorieta de Cuatro Caminos - Ciudad de los Periodistas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=127,0178BC,FFFFFF
128,EMT,128,Glorieta de Cuatro Caminos - Barrio del Pilar,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=128,0178BC,FFFFFF
129,EMT,129,Plaza de Castilla - Manoteras,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=129,0178BC,FFFFFF
130,EMT,130,Villaverde Alto - Vicalvaro,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=130,0178BC,FFFFFF
131,EMT,131,Campamento - Villaverde Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=131,0178BC,FFFFFF
132,EMT,132,Moncloa - Hospital la Paz,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=132,0178BC,FFFFFF
133,EMT,133,Plaza del Callao - Mirasierra,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=133,0178BC,FFFFFF
134,EMT,134,Plaza de Castilla|vaguada - Montecarmelo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=134,0178BC,FFFFFF
135,EMT,135,Plaza de Castilla - Hospital Ramon y Cajal,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=135,0178BC,FFFFFF
136,EMT,136,Pacifico - Madrid Sur,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=136,0178BC,FFFFFF
137,EMT,137,Ciudad Puerta de Hierro - Fuencarral,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=137,0178BC,FFFFFF
138,EMT,138,Plaza de España - Aluche,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=138,0178BC,FFFFFF
139,EMT,139,Dehesa del Principe - Carabanchel Alto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=139,0178BC,FFFFFF
140,EMT,140,Pavones - Canillejas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=140,0178BC,FFFFFF
141,EMT,141,Atocha - Buenos Aires,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=141,0178BC,FFFFFF
142,EMT,142,Pavones - Ensanche de Vallecas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=142,0178BC,FFFFFF
143,EMT,143,Plaza de Manuel Becerra - Villa de Vallecas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=143,0178BC,FFFFFF
144,EMT,144,Pavones - Entrevias,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=144,0178BC,FFFFFF
145,EMT,145,Plaza del Conde de Casal - Ensanche de Vallecas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=145,0178BC,FFFFFF
146,EMT,146,Plaza del Callao - los Molinos,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=146,0178BC,FFFFFF
147,EMT,147,Plaza del Callao - Barrio del Pilar,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=147,0178BC,FFFFFF
148,EMT,148,Plaza del Callao - Puente de Vallecas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=148,0178BC,FFFFFF
149,EMT,149,Tribunal - Plaza de Castilla,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=149,0178BC,FFFFFF
150,EMT,150,Puerta del Sol - Colonia Virgen del Cortijo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=150,0178BC,FFFFFF
151,EMT,151,Canillejas - Barajas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=151,0178BC,FFFFFF
152,EMT,152,Avenida de Felipe II - Mendez Alvaro,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=152,0178BC,FFFFFF
153,EMT,153,las Rosas - Mar de Cristal,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=153,0178BC,FFFFFF
155,EMT,155,Plaza Eliptica - Aluche,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=155,0178BC,FFFFFF
156,EMT,156,Plaza de Manuel Becerra - Plaza de Legazpi,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=156,0178BC,FFFFFF
160,EMT,160,Moncloa - Aravaca,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=160,0178BC,FFFFFF
161,EMT,161,Moncloa - Estacion de Aravaca,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=161,0178BC,FFFFFF
162,EMT,162,Moncloa - el Barrial,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=162,0178BC,FFFFFF
172,EMT,172,Mar de Cristal - Telefonica,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=172,0178BC,FFFFFF
173,EMT,173,Plaza de Castilla - Sanchinarro,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=173,0178BC,FFFFFF
174,EMT,174,Plaza de Castilla - Sanchinarro Este,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=174,0178BC,FFFFFF
176,EMT,176,Plaza de Castilla - las Tablas,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=176,0178BC,FFFFFF
177,EMT,177,Plaza de Castilla - Marques de Viana,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=177,0178BC,FFFFFF
178,EMT,178,Plaza de Castilla - Montecarmelo,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=178,0178BC,FFFFFF
180,EMT,180,Plaza de Legazpi - Caja Magica,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=180,0178BC,FFFFFF
200,EMT,200,Avenida de America - Aeropuerto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=200,0178BC,FFFFFF
203,EMT,203,Atocha - Aeropuerto,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=203,0178BC,FFFFFF
210,EMT,210,Plaza de Manuel Becerra - la Elipa,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=210,0178BC,FFFFFF
215,EMT,215,Avenida de Felipe II - Parque de Roma,,3,http://www.emtmadrid.es/aplicaciones/Itinerarios.aspx?linea=215,0178BC,FFFFFF
